# west on floor = top on gluex
148 ZQ2618 H10534MOD down TOF-N-35 Y-35 +1
149 ZQ2695 H10534MOD up TOF-N-34 Y-34 +1
150 ZQ2623 H10534MOD down TOF-N-33 Y-33 +1
151 ZQ2617 H10534MOD up TOF-N-32 Y-32 +1
152 ZQ2630 H10534MOD down TOF-N-31 Y-31 +1
153 ZQ2581 H10534MOD up TOF-N-30 Y-30 +1
154 ZQ2631 H10534MOD down TOF-N-29 Y-29 +1
155 ZQ2672 H10534MOD up TOF-N-28 Y-28 +1
156 ZQ3028 H10534MOD down TOF-N-27 Y-IN-12 +1
157 WA0442 H13795MOD up TOF-N-26 Y-IN-11 +1
158 ZQ3078 H10534MOD down TOF-N-25 Y-IN-10 +1
159 ZQ2749 H10534MOD up TOF-N-24 Y-IN-9 +1
160 WA0507 H13795MOD down TOF-N-23 Y-IN-8L +1
161 WA0447 H13795MOD up TOF-N-46 Y-IN-7L +1
162 WA0526 H13795MOD down TOF-N-45 Y-IN-6L +1
163 WA0461 H13795MOD up TOF-N-22 Y-IN-5L +1
164 WA0473 H13795MOD down TOF-N-21 Y-IN-4 +1
165 WA0440 H13795MOD up TOF-N-20 Y-IN-3 +1
166 ZQ2646 H10534MOD down TOF-N-19 Y-IN-2 +1
167 ZQ2757 H10534MOD up TOF-N-18 Y-IN-1 +1
168 ZQ2740 H10534MOD down TOF-N-17 Y-17 +1
169 ZQ2667 H10534MOD up TOF-N-16 Y-16 +1
170 ZQ2769 H10534MOD down TOF-N-15 Y-15 +1
171 ZQ3004 H10534MOD up TOF-N-14 Y-14 +1
172 ZQ2512 H10534MOD down TOF-N-13 Y-13 +1
173 ZQ2682 H10534MOD up TOF-N-12 Y-12 +1
174 ZQ2573 H10534MOD down TOF-N-11 Y-11 +1
175 ZQ2686 H10534MOD up TOF-N-10 Y-10 +1
176 ZQ2827 H10534MOD down TOF-N-9 Y-09 +1
177 ZQ2633 H10534MOD up TOF-N-8 Y-08 +1
178 ZQ2536 H10534MOD down TOF-N-7 Y-07 +1
179 ZQ2832 H10534MOD up TOF-N-6 Y-06 +1
180 ZQ2577 H10534MOD down TOF-N-5 Y-05 +1
181 ZQ2838 H10534MOD up TOF-N-4 Y-04 +1
182 ZQ2297 H10534MOD down TOF-N-3 Y-03 +1
183 ZQ2262 H10534MOD up TOF-N-2 Y-02 +1
184 ZQ2835 H10534MOD down TOF-N-1 Y-01 +1
